Year	Fires	Acres
2005	66552	8686753
2004	77534	6790692
2003	85943	4918088
2002	88458	6937584
2001	84079	3555138
2000	122827	8422237
1999	93702	5661976
1998	81043	2329709
1997	89517	3672616
1996	115025	6701390
1995	130019	2315730
1994	114049	4724014
1993	97031	2310420
1992	103830	2457665
1991	116953	2237714
1990	122763	5452874
1989	121714	3261732
1988	154573	7398889
1987	143877	4152575
1986	139980	3308133
1985	133840	4434748
1984	118636	2266134
1983	161649	5080553
1982	174755	2382036
