State	'99-'00	'00-'01
AL	13.3	13.2
AK	18.6	17.3
AZ	18.6	17.3
AR	14.4	15.2
CA	19	19
CO	14.9	14.9
CT	9.4	10
DE	9.6	9.2
DC	14.1	13.4
FL	17.6	17.9
GA	14.7	15.5
HI	9.8	9.5
ID	16.8	15.7
IL	13.6	13.7
IN	10.3	11.5
IA	8.2	8.2
KS	11.4	11.1
KY	13.4	13
LA	19.9	18.7
ME	10.8	10.6
MD	10.8	11.3
MA	9	8.5
MI	9.7	9.8
MN	7.8	8.1
MS	14.6	15
MO	8.1	9.9
MT	17.3	15.2
NE	17.7	16.5
NV	17.7	16.5
NH	8.7	8.9
NJ	12.1	12.6
NM	24.4	22.4
NY	15.9	15.9
NC	14	14
ND	11.5	10.5
OH	10.7	11.2
OK	17.7	18.6
OR	13.3	12.7
PA	8.5	9
RI	6.9	7.6
SC	13.8	12.2
SD	10.9	10.2
TN	10.6	11.1
TX	22.7	23.2
UT	13	13.7
VT	9.8	9.1
VA	12.4	11.3
WA	13.7	13.3
WV	14.7	13.6
WI	8.9	7.6
WY	15.4	15.8
