Year	Men	Women	Men-Wmn
2003	27.1	25.3	1.8
2002	26.9	25.3	1.6
2001	26.9	25.1	1.8
2000	26.8	25.1	1.7
1998	26.7	25	1.7
1997	26.8	25	1.8
1996	27.1	24.8	2.3
1995	26.9	24.5	2.4
1994	26.7	24.5	2.2
1993	26.5	24.5	2
1992	26.5	24.4	2.1
1991	26.3	24.1	2.2
1990	26.1	23.9	2.2
1989	26.2	23.8	2.4
1988	25.9	23.6	2.3
1987	25.8	23.6	2.2
1986	25.7	23.1	2.6
1985	25.5	23.3	2.2
1984	25.4	23	2.4
1983	25.4	22.8	2.6
1982	25.2	22.5	2.7
1981	24.8	22.3	2.5
1980	24.7	22	2.7
1979	24.4	22.1	2.3
1978	24.2	21.8	2.4
1977	24	21.6	2.4
1976	23.8	21.3	2.5
1975	23.5	21.1	2.4
