Hurricanes (1944 - 2006)	year
3	1944
2	1945
1	1946
2	1947
4	1948
3	1949
7	1950
2	1951
3	1952
3	1953
2	1954
5	1955
2	1956
2	1957
1	1958
0	1959
1	1960
2	1961
3	1962
2	1963
1	1964
2	1965
2	1966
2	1967
3	1968
1	1969
1	1970
1	1971
3	1972
2	1973
4	1974
2	1975
2	1976
6	1977
0	1978
2	1979
5	1980
1	1981
3	1982
1	1983
0	1984
3	1985
0	1986
1	1987
3	1988
2	1989
1	1990
2	1991
1	1992
1	1993
0	1994
5	1995
6	1996
1	1997
3	1998
5	1999
3	2000
3	2001
2	2002
3	2003
6	2004
7	2005
2	2006
