Dec_2004	Jan_2005	Feb_2005
1544.23	903.46	641.24
4300.07	7211.62	4568.16
4229.53	4238.38	2269.84
202.77	79.97	299.89
3297.84	4042.57	1377.24
873.86	89.25	-120.8
3808.92	3290.84	1929.67
1934.24	2419.34	2609.39
99.18	83.87	144.84
504.27	6.42	392.93
410.91	0	40.44
683.08	564.47	295.68
2161.15	2714.8	849.32
1123.9	187.13	162.06
2507.42	3265.57	2413.43
1836.68	1523.77	956.96
9.95	1359.25	38.03
2334.25	733.57	2655.16
78.55	75.08	64.92
101.33	70.27	-70.27
598.33	634.12	1861.84
648.39	1041.3	478.44
235.93	553.56	994.95
1266.4	1017	773.78
2124.12	1304.77	3367.35
3.66	249.48	5.53
306.05	48.75	96.88
1900.94	872.65	890.67
559.19	485.45	485.45
2446.7	616.73	1485.26
2800.47	1573.77	889.97
531.8	422.59	391.79
536.77	770.19	323.38
767.63	56.57	0
1958.47	1486.03	2252.06
1679.1	495.66	389.81
2063.8	1064.61	1065.87
397.01	510.28	131.4
5641.7	5642.49	4945.38
5.5	5.5	5.5
2279.68	871.29	591.81
3817.2	1635.18	3363.01
89.17	92.19	85.98
1451.86	669.64	1366.62
527.61	828.87	280.77
105.76	69.23	67.95
1403.9	830.98	1057.52
4231.44	2301.91	3316.35
633.28	270.46	14.13
970.53	210.49	160.65
348.18	1011.96	519.13
0	1044.32	2022.62
50	298.52	635.46
30	-30	0
471.7	1635.5	393.14
1116	1732.43	1323.78
70.7	0	65.1
31.08	31.4	28.77
4.95	4.95	77.2
2522.2	1088.26	892.11
16.96	26.88	29.01
40.55	120.2	32.22
259	2007.43	816.37
123	291.43	779.52
0	104	0
109.82	53.01	66.29
5053.68	2840.82	1531.91
3673.89	675.13	293.72
139.82	221.66	171.9
76	37.77	4.78
3153.38	533.58	880.93
2988.47	1933.08	1062.86
651.2	692.81	914.77
9120.78	6803.71	5942.68
916.69	393.15	466.19
2873.61	1308.05	303.02
797.59	796.77	497.3
34.55	0	266.42
44.18	1040.29	59.4
478.35	565.13	206.8
761.86	339.23	412.05
2350.39	5276.41	5322.19
44.27	40.09	72.63
43.29	43.37	38.44
1339.48	653.42	480.2
1127.9	1071.4	416.64
2800.96	2334.72	1788.96
52.13	91.47	175.23
1294.53	1433.73	1108.77
328.42	720.11	307.81
28.32	28.61	24.17
598.96	980.38	1216.02
4281.7	1576.74	1811.39
567.8	0	468.4
479.65	161.94	147.73
1615.99	493.95	1995.13
285.65	533.73	935.19
1284.45	462.08	114.56
3760.35	1478.55	2092.67
