BCI	pH
1389.24	7
1336	7
1417.27	6.75
1264.47	7.2
1412.81	6.75
1483.84	6.8
1367.07	7
1307.88	7.2
1503.25	7
1332.21	6.5
1304.76	6.8
1349.22	6.8
1419.93	7
1605.11	6.8
1114.83	7.5
1192.93	7.5
1578.67	7.8
1336.13	7.5
1467.96	7
1485.15	7.25
1447.51	7.25
1026.57	7.5
1292.46	7.5
1228.84	7.75
1108.9	8
1141.71	7.75
1384.46	7.75
649.36	8
1247.4	8
1264.35	8
1337.91	7
1095.78	8
1091.5	8
1105.97	8
1439.15	8
1365.07	7.5
1156.63	7.75
1379.59	8
1298.5	7.75
1154.99	7.5
1420.79	7.85
1094.25	7.7
980.43	7.9
1260.41	7.3
1282.22	7.6
831.79	8.1
1136.8	7.8
834.14	7.3
801.84	7.5
1296.71	8
1125.06	8
1285.06	7
1316.91	7
1395.15	7.5
1403.2	7.15
1391.31	7.15
987.2	7.5
1391.34	7
1375.41	7
1276.94	6.5
1356.52	7
1426.91	7.3
1386.82	7
1520.5	6.8
1438.82	6.8
1255.29	7.5
1207.93	7.5
1273.51	7.5
1142.31	8
1000.64	7.5
1156.12	8
1195.51	8
875.09	7.5
1266.53	8
1322.35	8
1160.4	7.5
1435.72	7.5
1229.1	7.4
1402.73	7.5
1469.29	7
1325.68	7
1354.45	7.5
1423.33	7
1433.4	7
1501.44	7
1387.59	7
1413.89	7
1440.74	6.8
1453.97	6.5
1508.42	7
1382.3	7
1491.86	7
1462.38	7
1510.32	7
1343.74	6.7
1356.9	6.5
1431.82	7.2
1504.65	7.5
1301.78	7.5
1237	8
834	7.5
1189	7.9
1269	8
1241	8
1193	7.5
1192	7.5
1309	8.2
1335	7
1343	7
1382	7.5
1473	7
1395	7
1384	7
1344	7
1264	7
1318	6.9
1366	7
1300	7
1291	7
1205	7
1326	6.7
1149.57	7.9
1094.52	7.7
1536.38	7.7
1209.9	7.3
1406.4	7
1385.05	7
1399.01	7
1461.79	7
1289.32	7.2
1301.42	7
1397.65	7
1359.64	7.5
1142.44	7.8
1099.69	7.7
1100.31	7.8
984.38	7.7
1295.79	7.7
1097.81	7.7
1326	7.2
1345.42	7
1332.8	7
1363.49	6.8
1330.54	7.3
1341.77	7.1
1192.5	8
1096.97	8
1127.22	7.5
1271.5	7.75
1010.92	7.75
1208.93	7.5
1146.92	7
1381.07	6.5
1473.48	7
1368.98	7
1218.48	7.1
963.14	7.5
1126.54	7.6
1021.08	7.6
1294.55	6.8
1380.32	7.2
1298.57	6.8
1370.31	6.5
