year	Temp	CO2
1959	16.53	2452
1960	16.51	2563
1961	16.5	2577
1962	16.52	2681
1963	16.52	2826
1964	16.7	2989
1965	16.68	3127
1966	16.55	3285
1967	16.58	3399
1968	16.62	3571
1969	16.53	3789
1970	16.55	4064
1971	16.72	4227
1972	16.58	4395
1973	16.56	4633
1974	16.69	4641
1975	16.65	4613
1976	16.72	4880
1977	16.53	5018
1978	16.55	5066
1979	16.55	5348
1980	16.57	5279
1981	16.59	5109
1982	16.56	5069
1983	16.75	5060
1984	16.53	5231
1985	16.51	5404
1986	16.58	5596
1987	16.77	5723
1988	16.74	5947
1989	16.66	6053
1990	16.83	6109
1991	16.78	6178
1992	16.6	6084
1993	16.6	6053
1994	16.73	6199
1995	16.83	6412
