Pressure (mb)	Wind Speed (mph)
977	80
960	100
977	80
961	100
985	70
969	90
965	70
985	70
950	100
969	90
950	110
934	130
969	90
961	80
976	80
985	70
950	110
969	90
969	90
970	70
985	70
985	70
969	90
969	90
969	90
985	70
969	90
969	90
985	70
963	100
965	90
985	70
970	70
977	80
955	100
965	90
985	70
985	70
959	100
985	70
960	100
980	80
973	90
985	70
960	100
970	90
963	90
971	100
964	90
950	110
931	110
972	90
987	70
985	70
970	90
975	90
949	100
969	90
985	70
965	90
953	100
973	85
973	85
973	85
985	70
925	135
973	80
955	105
981	75
946	65
973	85
981	75
985	70
945	110
985	55
970	95
985	70
977	80
985	70
986	75
954	100
973	85
948	115
955	105
975	90
955	105
973	65
973	85
985	70
960	110
981	75
985	70
980	75
938	115
979	85
945	105
955	95
936	125
983	70
973	80
976	80
990	70
985	70
985	70
979	75
977	80
958	95
953	105
989	55
985	70
972	85
959	100
955	65
952	105
957	100
965	95
955	95
985	70
972	85
988	65
973	85
988	65
976	75
989	65
945	100
962	100
949	100
1002	65
987	80
959	100
942	90
971	75
967	85
990	75
990	65
993	65
984	70
986	70
934	120
983	75
962	90
922	145
960	100
973	85
942	100
974	90
954	100
984	70
964	95
987	70
964	90
951	100
956	90
987	70
963	80
979	80
957	90
972	70
941	130
985	65
960	90
946	105
950	105
